R1,R2,R3,RT
46.26,43.19,98.8,1079.0
-1,-1,20.34,209.0
-1,-1,22.82,229.0
-1,-1,24.87,249.1
-1,-1,26.7,269.0
-1,-1,28.54,289.1
-1,-1,30.35,309.2
-1,-1,32.14,329.1
-1,-1,33.93,349.1
52200000.00,52000000.00,35.74,369.1
24900000.00,25400000.00,37.51,388.4
12500000.00,12600000.00,39.48,409.1
6500000.00,6580000.00,41.41,429.3
3470000.00,3500000.00,43.25,449.0
1870000.00,1890000.00,45.11,469.2
1050000.00,1060000.00,46.90,489.1
608000.00,611000.00,48.69,509.1
194000.00,1950000.00,50.53,529.1
121000.00,1210000.00,52.18,549.0
74100.00,743000.00,54.5,569.0
46100.00,463000.00,56.2,590.0
27000.00,2640000.00,57.8,609.0
17400.00,1700000.00,59.7,629.0
11300.00,1110000.00,61.5,649.0
8510.00,735000.00,63.2,669.0
7040.00,499000.00,64.9,689.0
5100.00,70700.00,66.6,709.0
4900.00,4920.00,68.3,729.0
1940.00,15600.00,70.0,749.0
1370.00,11000.00,71.8,769.0
3390.00,1150.00,73.6,789.0
2470.00,821.00,75.5,809.0
935.00,865.00,77.4,829.0
888.00,573.00,79.1,849.0
474.64,463.54,80.9,869.0
363.07,355.08,82.6,889.0
282.25,276.1,84.3,909.0
221.66,216.72,86.0,929.0
174.76,170.76,87.8,949.0
137.45,134.30,89.5,969.0
108.22,105.68,91.1,989.0
88.53,86.20,92.8,1009.0
72.83,70.78,94.5,1029.0
60.03,58.09,96.1,1049.0
49.74,47.96,97.79,1069.0
